id,disposal_location,education_level
1,E-waste site,4
2,Supermarket,5
3,Supermarket,4
4,Other,4
5,E-waste site,4
6,Supermarket,5
7,Supermarket,4
8,Supermarket,4
9,Regular trash,3
10,E-waste site,4
11,Supermarket,4
12,Supermarket,5
13,Supermarket,4
14,Supermarket,4
15,Other,4
16,Supermarket,4
17,E-waste site,1
18,E-waste site,3
19,Supermarket,4
20,Supermarket,2
21,Supermarket,5
22,Supermarket,3
23,Supermarket,2
24,Supermarket,4
25,Supermarket,4
26,Supermarket,4
27,Supermarket,4
28,Supermarket,5
29,Supermarket,2
30,Regular trash,4
31,Supermarket,4
32,Supermarket,2
33,Supermarket,5
34,Other,4
35,Supermarket,4
