date,time,weekday,id,age,gender,education_level,environmental_responsibility,returns_count,disposal_location,disposal_distance,measure_type,measure_rating,battery_fires_knowledge,has_read_fire_text,second_education_rating_after_reading,importance_estimate_type,importance_estimate_rating
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,deposit_incentive_rating,4,Partially,No,NA,injury_estimate,4
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,deposit_incentive_rating,4,Partially,No,NA,infrastructure_damage_estimate,4
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,deposit_incentive_rating,4,Partially,No,NA,pollution_estimate,5
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,deposit_incentive_rating,4,Partially,No,NA,fin_losses_estimate,3
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,deposit_incentive_rating,4,Partially,No,NA,material_losses_estimate,5
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,distance_incentive_rating,5,Partially,No,NA,injury_estimate,4
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,distance_incentive_rating,5,Partially,No,NA,infrastructure_damage_estimate,4
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,distance_incentive_rating,5,Partially,No,NA,pollution_estimate,5
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,distance_incentive_rating,5,Partially,No,NA,fin_losses_estimate,3
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,distance_incentive_rating,5,Partially,No,NA,material_losses_estimate,5
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,education_incentive_rating,5,Partially,No,NA,injury_estimate,4
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,education_incentive_rating,5,Partially,No,NA,infrastructure_damage_estimate,4
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,education_incentive_rating,5,Partially,No,NA,pollution_estimate,5
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,education_incentive_rating,5,Partially,No,NA,fin_losses_estimate,3
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,education_incentive_rating,5,Partially,No,NA,material_losses_estimate,5
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,removable_incentive_rating,5,Partially,No,NA,injury_estimate,4
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,removable_incentive_rating,5,Partially,No,NA,infrastructure_damage_estimate,4
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,removable_incentive_rating,5,Partially,No,NA,pollution_estimate,5
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,removable_incentive_rating,5,Partially,No,NA,fin_losses_estimate,3
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,removable_incentive_rating,5,Partially,No,NA,material_losses_estimate,5
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,deposit_incentive_rating,5,No,No,NA,injury_estimate,1
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,deposit_incentive_rating,5,No,No,NA,infrastructure_damage_estimate,2
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,deposit_incentive_rating,5,No,No,NA,pollution_estimate,3
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,deposit_incentive_rating,5,No,No,NA,fin_losses_estimate,1
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,deposit_incentive_rating,5,No,No,NA,material_losses_estimate,5
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,distance_incentive_rating,3,No,No,NA,injury_estimate,1
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,distance_incentive_rating,3,No,No,NA,infrastructure_damage_estimate,2
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,distance_incentive_rating,3,No,No,NA,pollution_estimate,3
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,distance_incentive_rating,3,No,No,NA,fin_losses_estimate,1
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,distance_incentive_rating,3,No,No,NA,material_losses_estimate,5
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,education_incentive_rating,2,No,No,NA,injury_estimate,1
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,education_incentive_rating,2,No,No,NA,infrastructure_damage_estimate,2
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,education_incentive_rating,2,No,No,NA,pollution_estimate,3
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,education_incentive_rating,2,No,No,NA,fin_losses_estimate,1
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,education_incentive_rating,2,No,No,NA,material_losses_estimate,5
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,removable_incentive_rating,5,No,No,NA,injury_estimate,1
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,removable_incentive_rating,5,No,No,NA,infrastructure_damage_estimate,2
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,removable_incentive_rating,5,No,No,NA,pollution_estimate,3
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,removable_incentive_rating,5,No,No,NA,fin_losses_estimate,1
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,removable_incentive_rating,5,No,No,NA,material_losses_estimate,5
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,deposit_incentive_rating,5,Partially,No,NA,injury_estimate,3
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,deposit_incentive_rating,5,Partially,No,NA,infrastructure_damage_estimate,3
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,deposit_incentive_rating,5,Partially,No,NA,pollution_estimate,3
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,deposit_incentive_rating,5,Partially,No,NA,fin_losses_estimate,2
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,deposit_incentive_rating,5,Partially,No,NA,material_losses_estimate,4
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,distance_incentive_rating,2,Partially,No,NA,injury_estimate,3
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,distance_incentive_rating,2,Partially,No,NA,infrastructure_damage_estimate,3
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,distance_incentive_rating,2,Partially,No,NA,pollution_estimate,3
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,distance_incentive_rating,2,Partially,No,NA,fin_losses_estimate,2
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,distance_incentive_rating,2,Partially,No,NA,material_losses_estimate,4
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,education_incentive_rating,3,Partially,No,NA,injury_estimate,3
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,education_incentive_rating,3,Partially,No,NA,infrastructure_damage_estimate,3
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,education_incentive_rating,3,Partially,No,NA,pollution_estimate,3
