Timestamp,What is your age?,What is your gender,What your highest completed level of your education?,How important is environmental responsibility to you,How many times have you returned portable batteries in the last 6 months?,Where do you mostly dispose of used batteries?,How far do you have to walk to return batteries in meters?,Risk to Human Life and Injury,Major Property and Infrastructure Damage,Environmental Pollution,Severe Financial Losses,Loss of raw material,Introducing a deposit of CHF 0.50 per battery.,Halving the distance to your next collection point.,Education campaigns about the consequences of improper disposal.,Batteries can be removed from all devices without tools.,Did you know that improper battery recycling causes increasingly more fires in waste facilities each year?,Have you read the text in the description?,Rate the likelihood of an Education campaign with this information increasing your motivation to recycle.
2025-05-13T11:39:54Z,23,Female,Level 4,4,4,Electronic waste collection point,300,4,4,5,3,5,4,5,5,5,Partially,No,NA
2025-05-15T12:48:00Z,25,Male,Level 5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,1,2,3,1,5,5,3,2,5,No,No,NA
2025-05-15T12:53:03Z,23,Male,Level 4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,3,3,3,2,4,5,2,3,4,Partially,No,NA
2025-05-15T12:54:26Z,26,Prefer not to say,Level 4,5,0,Other,0,5,5,5,5,5,5,5,5,5,Partially,No,NA
2025-05-15T13:02:03Z,24,Other,Level 4,1,0,Electronic waste collection point,200,3,1,5,1,4,3,1,3,5,No,No,NA
2025-05-15T13:20:47Z,23,Female,Level 5,5,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",1000,2,2,5,2,5,2,4,4,4,Partially,No,NA
2025-05-15T13:28:39Z,25,Prefer not to say,Level 4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",100,3,1,4,2,4,4,3,3,3,No,No,NA
2025-05-15T13:35:08Z,20,Male,Level 4,5,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",2000,2,2,4,2,4,1,2,1,4,No,No,NA
2025-05-15T13:37:11Z,25,Prefer not to say,Level 3,5,5,Regular trash,0,1,1,1,5,5,5,2,5,5,No,No,NA
2025-05-19T09:33:28Z,24,Female,Level 4,4,1,Electronic waste collection point,100,3,4,5,3,5,4,4,4,5,Partially,No,NA
2025-05-19T14:11:47Z,26,Female,Level 4,5,2,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,3,1,5,1,4,3,1,3,5,No,No,NA
2025-05-19T14:22:14Z,25,Male,Level 5,4,2,"Designated battery bin at Coop, Migros, Denner or Kkiosk",50,4,3,5,2,3,5,2,3,4,No,No,NA
2025-05-19T15:25:51Z,25,Male,Level 4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,5,3,4,1,2,3,2,3,3,No,No,NA
2025-05-19T15:29:42Z,24,Female,Level 4,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",50,4,3,4,3,5,4,5,2,2,Partially,No,NA
